Date	Anomoulous melting area
20000102	1354
20000103	1346
20000104	750
20000105	1768
20000106	921
20000107	847
20000108	1443
20000109	907
20000110	899
20000111	643
20000112	1020
20000113	778
20000114	532
20000115	463
20000116	546
20000117	459
20000118	602
20000119	909
20000120	479
20000121	353
20000122	619
20000123	643
20000124	369
20000125	555
20000126	548
20000127	552
20000128	205
20000129	228
20000130	255
20000131	465
20000201	356
20000202	503
20000203	951
20000204	923
20000205	723
20000206	500
20000207	496
20000208	160
20000209	302
20000210	226
20000211	374
20000212	365
20000213	561
20000214	220
20000215	197
20000216	241
20000217	308
20000218	620
20000219	164
20000220	77
20000221	107
20000222	183
20000223	258
20000224	602
20000225	279
20000226	259
20000227	283
20000228	244
20000229	389
20000301	148
20000302	221
20000303	105
20000304	281
20000305	456
20000306	488
20000307	167
20000308	147
20000309	294
20000310	399
20000311	498
20000312	740
20000313	485
20000314	234
20000315	260
20000316	407
20000317	204
20000318	202
20000319	238
20000320	535
20000321	543
20000322	418
20000323	549
20000324	630
20000325	622
20000326	332
20000327	249
20000328	469
20000329	383
20000330	382
20000331	242
20000401	259
20000402	248
20000403	228
20000404	281
20000405	742
20000406	577
20000407	297
20000408	188
20000409	171
20000410	177
20000411	231
20000412	324
20000413	529
20000414	423
20000415	302
20000416	715
20000417	490
20000418	344
20000419	272
20000420	262
20000421	217
20000422	626
20000423	957
20000424	438
20000425	564
20000426	550
20000427	564
20000428	868
20000429	877
20000430	677
20000501	874
20000502	375
20000503	434
20000504	623
20000505	212
20000506	342
20000507	776
20000508	534
20000509	542
20000510	449
20000511	685
20000512	368
20000513	391
20000514	658
20000515	896
20000516	834
20000517	777
20000518	587
20000519	493
20000520	578
20000521	1153
20000522	930
20000523	1114
20000524	1906
20000525	884
20000526	699
20000527	822
20000528	1326
20000529	1598
20000530	1783
20000531	1469
20000601	1525
20000602	1354
20000603	1562
20000604	1095
20000605	309
20000606	421
20000607	491
20000608	1054
20000609	1206
20000610	1578
20000611	654
20000612	1110
20000613	1127
20000614	780
20000615	1084
20000616	924
20000617	865
20000618	1096
20000619	619
20000620	1048
20000621	1560
20000622	1691
20000623	1184
20000624	896
20000625	1050
20000626	1431
20000627	1049
20000628	749
20000629	814
20000630	775
20000701	806
20000702	914
20000703	1185
20000704	709
20000705	1092
20000706	985
20000707	1008
20000708	937
20000709	965
20000710	1433
20000711	1562
20000712	1729
20000713	977
20000714	956
20000715	1150
20000716	1207
20000717	1711
20000718	722
20000719	517
20000720	1479
20000721	1359
20000722	1348
20000723	1791
20000724	1464
20000725	952
20000726	1249
20000727	1025
20000728	1279
20000729	1547
20000730	1498
20000731	1668
20000801	1355
20000802	1026
20000803	785
20000804	727
20000805	750
20000806	1478
20000807	1086
20000808	999
20000809	1076
